,RegionName,State_x,Date,Price,County,State_y,Housing Inventory,State,UnemploymentRate
206,Madera County,CA,2018-04,267688,Madera County,CA,849,CA,7.8
207,Napa County,CA,2018-04,680188,Napa County,CA,357,CA,2.9
208,Humboldt County,CA,2018-04,321946,Humboldt County,CA,411,CA,3.5
209,Nevada County,CA,2018-04,464193,Nevada County,CA,1071,CA,3.4
210,Sutter County,CA,2018-04,297398,Sutter County,CA,383,CA,8.5
211,Mendocino County,CA,2018-04,415333,Mendocino County,CA,522,CA,4
212,Yuba County,CA,2018-04,263902,Yuba County,CA,454,CA,6.5
213,Lake County,CA,2018-04,247266,Lake County,CA,681,CA,5.4
214,Tehama County,CA,2018-04,233600,Tehama County,CA,425,CA,5.8
215,Tuolumne County,CA,2018-04,,Tuolumne County,CA,568,CA,4.8
216,San Benito County,CA,2018-04,577059,,,,CA,5.3
217,Calaveras County,CA,2018-04,317092,,,,CA,4
218,Siskiyou County,CA,2018-04,212431,,,,CA,7.1
219,Amador County,CA,2018-04,315744,,,,CA,4.1
220,Lassen County,CA,2018-04,173542,,,,CA,5.3
221,Del Norte County,CA,2018-04,256500,,,,CA,5.5
222,Glenn County,CA,2018-04,241455,,,,CA,6.8
223,Colusa County,CA,2018-04,242964,,,,CA,15.1
224,Plumas County,CA,2018-04,273636,,,,CA,9.3
225,Inyo County,CA,2018-04,354446,,,,CA,3.8
226,Mariposa County,CA,2018-04,293601,,,,CA,5.5
227,Mono County,CA,2018-04,449991,,,,CA,3.5
228,Trinity County,CA,2018-04,288584,,,,CA,6.5
229,Modoc County,CA,2018-04,135334,,,,CA,8.1
230,Sierra County,CA,2018-04,239957,,,,CA,6.7
231,Alpine County,CA,2018-04,405668,,,,CA,3.8
232,Los Angeles County,CA,2018-05,625140,Los Angeles County,CA,19188,CA,4.1
233,San Diego County,CA,2018-05,584790,San Diego County,CA,6342,CA,2.9
234,Orange County,CA,2018-05,737601,Orange County,CA,7726,CA,2.5
235,Riverside County,CA,2018-05,380660,Riverside County,CA,10956,CA,3.7
236,San Bernardino County,CA,2018-05,339665,San Bernardino County,CA,9216,CA,3.6
237,Santa Clara County,CA,2018-05,1347816,Santa Clara County,CA,2711,CA,2.3
238,Alameda County,CA,2018-05,899896,Alameda County,CA,1213,CA,2.6
